2,1733763023.3887858,-574,1916,-513
0,1733763023.4112396,-186,405,458
1,1733763023.4126458,-3704,16247,-5280
2,1733763023.421744,-566,1867,-696
0,1733763023.4346611,91,-88,-64
1,1733763023.4447973,-3478,14421,-5368
2,1733763023.446368,-622,1744,-646
0,1733763023.4677055,149,-150,282
1,1733763023.4774876,-3335,14677,-3737
2,1733763023.4789226,-433,1845,-464
0,1733763023.5001953,-52,-72,239
1,1733763023.5014403,-3028,15514,-4395
2,1733763023.5109088,-577,1948,-562
0,1733763023.533272,251,20,303
1,1733763023.5348313,-4112,16022,-4520
2,1733763023.5360153,-538,1882,-558
0,1733763023.5570447,-170,375,-336
1,1733763023.5665724,-3713,14049,-5233
2,1733763023.568051,-541,1695,-526
0,1733763023.5892959,178,112,-162
1,1733763023.5994349,-3827,13228,-4707
2,1733763023.6007102,-483,1819,-487
0,1733763023.622496,-13,158,480
1,1733763023.6239874,-3373,14423,-3832
2,1733763023.6330001,-588,2019,-535
0,1733763023.655267,-100,510,-9
1,1733763023.656734,-3906,15320,-5537
2,1733763023.658266,-574,1885,-706
0,1733763023.6785676,204,113,83
1,1733763023.6884348,-3763,14466,-4203
2,1733763023.6897938,-575,1807,-428
0,1733763023.711472,-144,343,-18
1,1733763023.712717,-3520,14687,-4097
2,1733763023.7218695,-490,1846,-472
0,1733763023.7441802,217,-449,457
1,1733763023.7454693,-3277,15241,-4072
2,1733763023.7549908,-546,2032,-509
0,1733763023.7681584,-253,728,128
1,1733763023.7782526,-3611,16087,-4610
2,1733763023.7796068,-499,1852,-698
0,1733763023.8007932,-100,493,-406
1,1733763023.810791,-4400,13447,-5304
2,1733763023.8120377,-567,1774,-621
0,1733763023.8334897,46,27,290
1,1733763023.834816,-3038,14037,-3433
2,1733763023.8443835,-458,2023,-458
0,1733763023.8663368,-164,379,332
1,1733763023.8677564,-3988,14860,-4266
2,1733763023.8692708,-527,2194,-738
0,1733763023.8895104,159,-130,415
1,1733763023.899758,-4962,16037,-4662
2,1733763023.901045,-520,1935,-603
0,1733763023.9226255,-147,562,-432
1,1733763023.924137,-4637,13763,-5141
2,1733763023.933836,-476,1772,-515
0,1733763023.9558806,205,-171,-139
1,1733763023.9576426,-4308,13139,-3920
2,1733763023.9662845,-388,1826,-446
0,1733763023.9792516,5,58,484
1,1733763023.9890082,-3957,16310,-3263
